"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.10.2020","3.870,35","3.861,25","3.873,50","3.846,47","6,97K","0,24%"
"29.10.2020","3.861,25","3.830,00","3.866,00","3.829,34","3,69K","0,82%"
"28.10.2020","3.830,00","3.809,10","3.854,15","3.802,38","7,53K","0,54%"
"27.10.2020","3.809,60","3.814,85","3.820,15","3.797,88","6,35K","-0,14%"
"26.10.2020","3.814,85","3.789,50","3.818,77","3.781,93","5,16K","0,67%"
"23.10.2020","3.789,50","3.784,00","3.793,49","3.770,00","5,84K","0,15%"
"22.10.2020","3.784,00","3.766,50","3.795,90","3.754,50","6,38K","0,46%"
"21.10.2020","3.766,50","3.825,00","3.826,00","3.761,39","7,10K","-1,53%"
"20.10.2020","3.825,00","3.844,75","3.847,18","3.815,69","6,62K","-0,51%"
"19.10.2020","3.844,75","3.848,10","3.849,45","3.834,50","5,76K","-0,09%"
"16.10.2020","3.848,10","3.850,25","3.852,00","3.827,68","3,03K","-0,06%"
"15.10.2020","3.850,25","3.839,00","3.862,74","3.837,11","3,22K","0,29%"
"14.10.2020","3.839,00","3.862,00","3.862,00","3.835,00","1,21K","-0,60%"
"13.10.2020","3.862,00","3.825,50","3.864,00","3.825,50","3,34K","0,89%"
"12.10.2020","3.828,00","3.828,00","3.837,36","3.827,91","0,90K","0,00%"
"09.10.2020","3.828,00","3.842,25","3.843,04","3.817,45","4,07K","-0,30%"
"08.10.2020","3.839,50","3.844,20","3.848,80","3.830,53","3,62K","-0,12%"
"07.10.2020","3.844,20","3.833,00","3.850,00","3.808,63","4,31K","0,29%"
"06.10.2020","3.833,00","3.829,59","3.845,30","3.806,78","5,08K","0,09%"
"05.10.2020","3.829,59","3.871,50","3.877,99","3.827,26","4,92K","-1,10%"
"02.10.2020","3.872,00","3.845,50","3.905,60","3.845,50","5,42K","0,69%"
"01.10.2020","3.845,50","3.827,50","3.858,50","3.797,57","4,77K","0,48%"
"30.09.2020","3.827,00","3.886,95","3.906,75","3.826,75","4,77K","-1,54%"
"29.09.2020","3.886,95","3.873,00","3.896,85","3.858,92","5,21K","0,36%"
"28.09.2020","3.873,00","3.886,75","3.886,90","3.830,20","4,34K","-0,36%"
"25.09.2020","3.887,00","3.827,00","3.893,85","3.824,43","5,20K","1,57%"
"24.09.2020","3.827,00","3.862,18","3.908,32","3.826,50","6,79K","-0,84%"
"23.09.2020","3.859,53","3.831,43","3.878,88","3.825,12","6,65K","0,89%"
"22.09.2020","3.825,64","3.794,30","3.845,94","3.782,56","5,11K","1,03%"
"21.09.2020","3.786,82","3.735,47","3.807,09","3.731,66","4,35K","1,52%"
"18.09.2020","3.730,01","3.714,36","3.738,26","3.707,70","4,20K","0,40%"
"17.09.2020","3.715,01","3.686,84","3.728,34","3.686,20","4,83K","0,61%"
"16.09.2020","3.692,38","3.704,30","3.724,20","3.684,35","5,11K","0,02%"
"15.09.2020","3.691,50","3.692,78","3.704,03","3.668,61","4,61K","0,03%"
"14.09.2020","3.690,50","3.705,25","3.723,25","3.666,75","4,60K","-0,41%"
"11.09.2020","3.705,51","3.710,11","3.726,11","3.688,01","7,25K","-0,12%"
"10.09.2020","3.710,11","3.713,91","3.716,66","3.675,01","7,12K","-0,01%"
"09.09.2020","3.710,65","3.742,69","3.742,69","3.710,65","6,71K","-0,74%"
"08.09.2020","3.738,50","3.711,50","3.772,86","3.711,50","3,86K","0,63%"
"07.09.2020","3.715,00","3.718,38","3.719,12","3.715,00","0,01K","0,00%"
"04.09.2020","3.715,01","3.691,11","3.723,01","3.671,22","7,05K","0,65%"
"03.09.2020","3.691,00","3.659,22","3.697,80","3.621,52","8,23K","0,93%"
"02.09.2020","3.657,00","3.678,75","3.690,77","3.641,14","8,06K","-0,51%"
"01.09.2020","3.675,85","3.745,11","3.745,21","3.667,41","7,77K","-1,74%"
"31.08.2020","3.741,00","3.745,29","3.766,49","3.726,93","8,80K","-0,12%"
"28.08.2020","3.745,50","3.816,43","3.836,74","3.739,30","8,11K","-1,85%"
"27.08.2020","3.816,00","3.839,64","3.849,54","3.804,92","8,04K","-0,51%"
"26.08.2020","3.835,55","3.871,54","3.884,84","3.831,13","9,03K","-0,76%"
"25.08.2020","3.865,00","3.855,67","3.887,42","3.834,49","7,89K","0,26%"
"24.08.2020","3.855,00","3.834,81","3.857,81","3.808,06","9,09K","0,50%"
"21.08.2020","3.836,00","3.804,00","3.848,18","3.791,52","8,56K","0,84%"
"20.08.2020","3.804,00","3.755,84","3.804,00","3.755,84","6,94K","1,25%"
"19.08.2020","3.757,00","3.783,92","3.794,94","3.754,42","8,79K","-0,74%"
"18.08.2020","3.785,00","3.781,34","3.791,47","3.768,34","9,40K","-0,21%"
"17.08.2020","3.793,00","3.803,00","3.805,90","3.784,32","4,08K","0,00%"
"14.08.2020","3.793,00","3.772,00","3.796,88","3.765,10","7,60K","0,66%"
"13.08.2020","3.768,17","3.761,69","3.780,39","3.749,27","8,33K","0,32%"
"12.08.2020","3.756,00","3.741,24","3.761,89","3.733,76","8,92K","0,45%"
"11.08.2020","3.739,17","3.782,24","3.782,24","3.739,17","7,85K","-0,87%"
"10.08.2020","3.772,07","3.746,78","3.786,68","3.743,22","8,15K","0,78%"
"07.08.2020","3.743,00","3.743,94","3.768,19","3.742,19","5,62K","0,00%"
"06.08.2020","3.743,00","3.775,50","3.788,75","3.737,00","7,79K","-0,87%"
"05.08.2020","3.776,00","3.780,52","3.786,20","3.757,42","8,11K","-0,13%"
"04.08.2020","3.781,01","3.768,90","3.802,31","3.761,38","6,62K","0,40%"
"03.08.2020","3.765,83","3.737,48","3.777,10","3.729,02","6,46K","0,87%"